1024,3,0.00496,3632
128,3,0.002328,3468
16384,2,0.121313,6448
128,1,0.065177,3320
128,7,0.004644,3392
1048576,5,23.6721,170048
128,5,0.005922,3264
16384,10,0.210833,6060
524288,2,7.97461,89940
128,10,0.002032,3304
2048,2,0.010888,3824
128,4,0.002767,3372
1024,4,0.005286,3540
1024,2,0.006283,3460
1048576,6,12.4041,170052
256,1,0.003138,3324
1048576,7,22.3037,169988
512,9,0.009101,3332
1048576,4,22.6412,170044
1024,8,0.015064,3548
1024,6,0.007925,3516
1024,10,0.003505,3532
256,7,0.002158,3404
512,5,0.003445,3344
1048576,8,27.7628,170012
64,6,0.006103,3352
512,1,0.007841,3496
524288,3,7.77076,90096
64,8,0.002879,3304
262144,10,2.57087,48236
256,5,0.030501,3396
2048,10,0.031587,3628
2048,5,0.008457,3752
1048576,9,17.6239,170076
1024,1,0.018618,3596
2048,6,0.016595,3820
64,5,0.002561,3364
1024,7,0.009633,3544
16384,7,0.237708,6244
256,6,0.006328,3336
2048,1,0.016388,3828
262144,4,7.96672,48224
512,10,0.010526,3436
64,1,0.004746,3376
1048576,2,23.33,170456
16384,9,0.369817,6280
256,10,0.007632,3284
2048,3,0.02096,3664
1048576,10,17.1814,169980
524288,9,15.2,90144
2048,7,0.014806,3724
512,7,0.006929,3336
524288,4,12.5991,89988
262144,7,2.4888,48284
128,2,0.002199,3400
64,4,0.001907,3388
16384,6,0.114542,6044
16384,1,0.147471,6208
262144,1,2.77534,48116
1024,5,0.004263,3612
256,4,0.002537,3300
512,8,0.004911,3412
64,7,0.002126,3260
524288,5,5.41088,90012
64,9,0.00183,3244
512,6,0.006293,3500
524288,1,5.43504,89964
512,2,0.003151,3500
512,4,0.002842,3420
128,6,0.002265,3360
1024,9,0.003832,3504
524288,6,9.5776,89960
64,10,0.001955,3384
262144,6,2.46727,48244
64,2,0.001876,3384
512,3,0.003764,3460
256,8,0.003011,3412
256,3,0.002125,3440
16384,8,0.094509,6244
2048,9,0.006743,3704
524288,8,5.55961,90132
1048576,3,12.2328,170372
128,9,0.003424,3432
262144,8,2.32569,48376
16384,5,0.0888,6248
64,3,0.001956,3360
16384,3,0.086688,6028
262144,9,2.33714,48340
128,8,0.003287,3356
256,2,0.006961,3436
1048576,1,12.2811,170048
524288,7,5.48498,90120
262144,3,2.65643,48196
262144,2,3.64585,48372
256,9,0.006665,3508
262144,5,2.53717,48240
2048,8,0.007391,3788
2048,4,0.008952,3752
16384,4,0.098803,6220
524288,10,12.8047,90008
