262144,8,0.060595,3740
1024,6,0.004165,1604
1048576,6,0.246239,10632
128,5,0.026704,1552
1024,3,0.00205,1728
64,10,0.000983,1596
262144,5,0.073957,3764
524288,2,0.144194,5888
262144,10,0.082613,3820
1024,5,0.005363,1572
262144,4,0.077617,3772
64,2,0.003984,1600
16384,9,0.006093,1792
524288,6,0.129603,5808
512,7,0.012227,1656
2048,7,0.001017,1552
64,9,0.000959,1596
128,10,0.00062,1564
512,8,0.001918,1540
16384,7,0.004274,1736
1048576,3,0.260114,10636
262144,1,0.066295,3716
1024,1,0.005784,1544
64,6,0.000661,1628
2048,8,0.001298,1552
262144,3,0.068994,3688
16384,1,0.010755,1788
1024,10,0.00095,1608
256,1,0.00069,1572
1048576,2,0.263239,10580
256,5,0.027722,1560
262144,2,0.108938,3756
524288,3,0.120196,5784
64,7,0.011629,1560
512,5,0.000707,1604
128,7,0.000794,1604
262144,9,0.065409,3716
16384,3,0.006873,1716
512,6,0.00097,1552
2048,10,0.001971,1592
64,1,0.00068,1600
262144,7,0.078506,3772
1048576,8,0.240779,10584
2048,3,0.029421,1616
524288,7,0.127084,5884
2048,5,0.012047,1592
262144,6,0.076561,3672
256,4,0.003586,1600
256,8,0.001133,1656
512,9,0.001025,1600
128,8,0.000705,1648
524288,1,0.126173,5888
524288,8,0.118448,5872
524288,5,0.125013,5784
1048576,4,0.236247,10628
524288,10,0.121609,5852
512,1,0.012743,1552
256,7,0.000852,1572
128,2,0.000763,1596
64,5,0.000651,1596
1048576,1,0.260262,10584
1024,7,0.027811,1544
512,3,0.0008,1564
1024,9,0.001057,1544
1024,2,0.001232,1584
2048,6,0.001349,1564
16384,6,0.005642,1784
1024,4,0.000817,1580
256,3,0.001008,1652
128,6,0.000624,1536
128,1,0.000847,1540
64,8,0.000719,1556
128,4,0.000659,1552
256,9,0.000949,1548
16384,8,0.004827,1784
2048,2,0.001724,1592
256,6,0.000815,1656
128,3,0.000703,1600
16384,5,0.006199,1676
1048576,5,0.257951,10560
64,4,0.029897,1596
256,10,0.002687,1648
16384,2,0.017217,1716
64,3,0.001025,1552
524288,9,0.12962,5828
512,2,0.012655,1600
524288,4,0.13267,5936
128,9,0.013227,1552
2048,9,0.002231,1580
512,4,0.002208,1604
512,10,0.001531,1564
256,2,0.001827,1560
2048,4,0.001478,1612
1048576,7,0.24516,10592
1048576,10,0.239085,10636
16384,10,0.038503,1696
1048576,9,0.265894,10552
1024,8,0.029207,1544
2048,1,0.001078,1548
16384,4,0.005092,1792
